,Time,Parts,Joint,Label,X,Y,Z
0,0,Left Hand,Mid Shoulder,-,0.019411500058595214,-0.01659687333813052,0.48185867071151733
1,0,Left Hand,Left Shoulder,1,0.02861000921529921,-0.1522606807302508,0.4411620497703552
2,0,Left Hand,Left Elbow,3,0.0642048748950401,-0.2989660399507556,0.21393841505050637
3,0,Left Hand,Left Wrist,5,-0.03705237109261359,-0.28617860847225524,0.033496320247650146
4,0,Right Hand,Mid Shoulder,-,0.019411500058595214,-0.01659687333813052,0.48185867071151733
5,0,Right Hand,Right Shoulder,2,0.04684086095494421,0.12606019801387447,0.45525938272476196
6,0,Right Hand,Right Elbow,4,0.10419178333086161,0.2863714200902905,0.24582940340042114
7,0,Right Hand,Right Wrist,6,-0.01727705124812919,0.23765496439227718,0.060074448585510254
8,0,Left Leg,Mid Hip,-,0.0,0.0,0.0
9,0,Left Leg,Left Hip,7,-0.01802046086686459,-0.13748690956344942,-0.0030832290649414062
10,0,Left Leg,Left Knee,9,-0.20538121137815318,-0.056165178353694424,-0.40437179803848267
11,0,Left Leg,Left Ankle,11,-0.23236401055055458,0.005003700916859078,-0.8362866044044496
12,0,Right Leg,Mid Hip,-,0.0,0.0,0.0
13,0,Right Leg,Right Hip,8,0.018031948692623614,0.13748846477756158,0.003042936325073242
14,0,Right Leg,Right Knee,10,0.060931171737138315,0.062388370697590276,-0.43393114209175115
15,0,Right Leg,Right Ankle,12,0.2300079348306098,-0.004556109244731422,-0.8423763513565063
16,0,Body,Mid Hip,14,0.0,0.0,0.0
17,0,Body,Waist,-,0.03058037113351011,-0.005740766460803522,0.22543174028396606
18,0,Body,Mid Shoulder,13,0.019411500058595214,-0.01659687333813052,0.48185867071151733
19,0,Body,Head,-,-0.04869340781169739,-0.02878861599674562,0.5511439442634583
20,0,Body,Nose,0,0.02179638434154181,-0.014913071925548122,0.6342511773109436
21,1,Left Hand,Mid Shoulder,-,0.019416132517108053,-0.01692906253992986,0.48121172189712524
22,1,Left Hand,Left Shoulder,1,0.027267628855952256,-0.15209931367098756,0.44022637605667114
23,1,Left Hand,Left Elbow,3,0.06369457537675766,-0.30012554162203736,0.21294349431991577
24,1,Left Hand,Left Wrist,5,-0.044841936282864446,-0.27876636617838807,0.041815221309661865
25,1,Right Hand,Mid Shoulder,-,0.019416132517108053,-0.01692906253992986,0.48121172189712524
26,1,Right Hand,Right Shoulder,2,0.047631898470171956,0.12525820500195545,0.4555400013923645
27,1,Right Hand,Right Elbow,4,0.10587247604871655,0.28232306010067987,0.24414902925491333
28,1,Right Hand,Right Wrist,6,-0.019846355967274545,0.23664629227459955,0.05898672342300415
29,1,Left Leg,Mid Hip,-,0.0,0.0,0.0
30,1,Left Leg,Left Hip,7,-0.018590905197015645,-0.13767269485651915,-0.0023328661918640137
31,1,Left Leg,Left Knee,9,-0.20335589950536814,-0.057293536598081056,-0.40507596731185913
32,1,Left Leg,Left Ankle,11,-0.24287908380483714,0.004090902870302642,-0.8360502123832704
33,1,Right Leg,Mid Hip,-,0.0,0.0,0.0
34,1,Right Leg,Right Hip,8,0.018602331675538056,0.13767400152028125,0.0022922158241271973
35,1,Right Leg,Right Knee,10,0.06498911375547316,0.06287169224560785,-0.43496778607368475
36,1,Right Leg,Right Ankle,12,0.23965282136941815,-0.0032827281302160584,-0.8385176658630371
37,1,Body,Mid Hip,14,0.0,0.0,0.0
38,1,Body,Waist,-,0.030782945029386555,-0.005334901148671558,0.225558340549469
39,1,Body,Mid Shoulder,13,0.019416132517108053,-0.01692906253992986,0.48121172189712524
40,1,Body,Head,-,-0.04894395028804865,-0.027737440997952858,0.5498977303504944
41,1,Body,Nose,0,0.021227528847703056,-0.016045870715970457,0.6329875588417053
42,2,Left Hand,Mid Shoulder,-,0.019091176481197167,-0.016079282167993324,0.48116129636764526
43,2,Left Hand,Left Shoulder,1,0.025717428566167568,-0.15122581065043042,0.4397127032279968
44,2,Left Hand,Left Elbow,3,0.06456907713527467,-0.2987451010976656,0.20909684896469116
45,2,Left Hand,Left Wrist,5,-0.045184222369243736,-0.2832368367944582,0.03734326362609863
46,2,Right Hand,Mid Shoulder,-,0.019091176481197167,-0.016079282167993324,0.48116129636764526
47,2,Right Hand,Right Shoulder,2,0.04769509160632877,0.12627359687940037,0.453904926776886
48,2,Right Hand,Right Elbow,4,0.10795035088176516,0.2826173251833097,0.2445712685585022
49,2,Right Hand,Right Wrist,6,-0.017528825758745332,0.24009867965833107,0.055135130882263184
50,2,Left Leg,Mid Hip,-,0.0,0.0,0.0
51,2,Left Leg,Left Hip,7,-0.018581147624900034,-0.13747563004835683,-0.0022884607315063477
52,2,Left Leg,Left Knee,9,-0.20033069825058183,-0.057465052012048524,-0.4063511192798615
53,2,Left Leg,Left Ankle,11,-0.2517347869861623,0.0043689554895535755,-0.833010733127594
54,2,Right Leg,Mid Hip,-,0.0,0.0,0.0
55,2,Right Leg,Right Hip,8,0.01859265068287637,0.13747658788815897,0.0022466182708740234
56,2,Right Leg,Right Knee,10,0.06834754222745687,0.06274017154828468,-0.4352076351642609
57,2,Right Leg,Right Ankle,12,0.24639478945846346,-0.0024370604787691246,-0.8369123935699463
58,2,Body,Mid Hip,14,0.0,0.0,0.0
59,2,Body,Waist,-,0.030469036341855767,-0.004232128861985924,0.22586828470230103
